Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
"Toxic, toxic, toxic.",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75754627.htm,2.0,"Apr 23, 2023",Content Strategist,"Former Employee, more than 1 year","Boston, MA",Pros,Pay rates are slightly better than the industry average. The work is good resume fodder.,Cons,"To put it bluntly, the company doesn't know how to fix or even identify dysfunctional teams. It doesn't make a lot of sense. Fidelity is so large, they've been around for such a long time, and they are excessively worried about lawsuits and legal actions. You'd think they would have a plan regarding allegations of toxic team culture, they'd investigate the situation, and then they'd make some attempt to fix things. And yet ... no. TL;DR I found a different opportunity at another company and left as soon as I could.",3
Fidelity is amazing,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW79040066.htm,5.0,"Aug 10, 2023",Customer Relationship Advocate,"Current Employee, less than 1 year","Durham, NC",Pros,"Incredible benefits, work life balance is a priority, amazing support through FINRA licensing, truly the best place I have ever worked #fidelityassociate",Cons,I don’t have any cons that come to mind,
It's great once you get the hang of it,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78567473.htm,5.0,"Jul 25, 2023",Wealth Management Service Specialist I,"Current Employee, less than 1 year","Houston, TX",Pros,"Lots of support in this role from managers and peers with the opportunity to move around in the company. Great benefits, and this WFH position allows more work-life balance.",Cons,Takes a while to learn your resources. You learn something new every day.,
Sales heavy,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78449004.htm,4.0,"Jul 20, 2023",Workplace Planning Consultant II,"Current Employee, more than 1 year","Salt Lake City, UT",Pros,Pretty good bonus each quarter,Cons,Slave to the numbers. Everything is about hitting numbers and performing. If you miss 1 day it messes with your entire week which can ruin a bonus or promotion.,
Best company to build your career in,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78391375.htm,5.0,"Jul 19, 2023",Fixed Income Specialist,Current Employee,,Pros,"They care about their associates, they're competitive with their pay, their reputation among clients is top-notch so you can feel proud of working there, and there is plenty of room to grow.",Cons,Some metrics that are expected can be tough to meet unless you are fully committed to the company,
Good employer,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78841129.htm,5.0,"Aug 3, 2023",Human Resources Associate,"Former Employee, more than 3 years","Boston, MA",Pros,"Great company with good benifits and incentives, if you live in Boston this is a great employer!",Cons,Limited Remote Work Options for employees in certain departments.,
"Solid culture, great benefits.",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78269158.htm,5.0,"Jul 14, 2023",High Net Worth Service Associate,"Current Employee, more than 3 years","Jacksonville, FL",Pros,401k match @ 7% and profit sharing @ 10% are hard to beat. The support you receive is genuine.,Cons,"Since the job is taking inbound phone calls all day, I find the requirement to be in the office 5 consecutive days, once every 4 weeks, to be unnecessary.",1
Salary,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78734562.htm,5.0,"Jul 31, 2023",Associate Software Engineer,Current Employee,"Durham, NC",Pros,"Good work life culture, great environment.",Cons,"I have to nitpick for cons. Sometimes my favorite snacks are not available at the office, so that is the only con. In all seriousness, no cons that cross my mind.",
Unprofessional,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78489834.htm,1.0,"Jul 22, 2023",Customer Service Representative (CSR),Former Employee,,Pros,None that I can express,Cons,"Took almost 3 months to do a background check and credit check. 3 days before I was supposed to start, I get a call stating that my credit score wasn't up to Fidelity standards. Seriously, had all that time, and right as I am about to start, they call me with that nonsense. Unprofessional and of course they call at the end of the day, so I can't get anyone on the phone.",3
The remote prison,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75760474.htm,1.0,"Apr 23, 2023",Customer Advocate,"Former Employee, more than 1 year","Westlake, TX",Pros,- You can work remote (at least while I was there) - Onboarding is fun,Cons,"- You are tracked by the literal second of each day every day - Every small, minute error is tallied, and counted against you - You are the public's punching bag for the company - You are constantly pitted in an impossible situation of not knowing the answer, while not being allowed to say so. You can try to seek help, but ultimately, you are not equipped for success - There are 0 opportunities to network as every second of your day is completey dedicated to being on the phone",5
Very political,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78467802.htm,1.0,"Jul 21, 2023",Vice President,"Current Employee, more than 5 years","Boston, MA",Pros,Opportunities to grow and learn,Cons,Very political. Backstabbing is commonly done with a smiling face. You would be lucky to work for a manager that supports you. A small issue can be blown out of portion to HR,5
Great experience,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78367813.htm,5.0,"Jul 18, 2023",Investment Solutions Leader,Current Employee,,Pros,"Autonomy of Day, Very fulfilling you are able to get reps promoted quickly to roles that are close to destination roles. You get to work with the reps with the most potential.",Cons,Woke Company. Any big corporation has communication issues. Sometimes the top doesnt understand what is actually going on.,
Career Mobility,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75836842.htm,2.0,"Apr 25, 2023",Anonymous Employee,"Current Employee, more than 1 year",,Pros,RCS career mobility is a scam. They shuffle you through various phone roles and act as if they are of importance to the company meanwhile they actually offer no experience notable or worthwhile to a higher up position.,Cons,"Career mobility? Absolutely zero with RCS. Claims many openings, every only a few with hundreds of others competing, no increases in pay to keep up with inflation, lots of corporate politics to make it seem as if there is change and improvement to the RCS space with little action.",2
Best Company Culture,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78937559.htm,5.0,"Aug 7, 2023",Team Leader,Current Employee,"Westlake, TX",Pros,The people you work with amazing. I’m a returning employee and the grass is not always greener.,Cons,Relative pay to other firms,
"Silos, Senior Management has no transparency. Pay well below industry average. Nepotism.",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73976529.htm,1.0,"Feb 25, 2023",Operations,"Former Employee, more than 1 year","Westlake, TX",Pros,"-Benefits are comparable to other brokerage firms. 

-Workforce is starting to become younger

 -Free Coffee -Walking trails, onsite clinic, onsite fitness centers.",Cons,"-This company relies on people fresh out of college who are entering a cuthroat job market, or older associates who are too invested in the company to leave. This is not a place for experienced industry professionals.

 -Management and hiring practices based solely off of nepotism. 

-Not publicly traded so the company's Senior Leadership has ZERO transparency. 

-Return to office policies made by out of touch senior leaders, and during hybrid we are at more than maximum capacity. Logistics of this have not been addressed.

 -Pay is totally made up and based on feelings rather than acheivement. It is substantially lower than industry average.

 -Bad behavior by management is rewarded, and those who abuse their team are promoted. 

-Onsite Cafeteria food, while subsidized A LITTLE TINY BIT is completely inedible and has given myself many people I know food poisining.",9
"Great pay, work-life balance, and upward mobility",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78282105.htm,4.0,"Jul 15, 2023",High Net Worth Service Associate,"Current Employee, more than 1 year","Austin, TX",Pros,"Great pay, work-life balance, and upward mobility",Cons,"There are some policies that are shortsighted and unfair, that lead to suboptimal outcomes for the employees, clients, and company as a whole",1
